business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
Manufacturing,6,6550805,430243,2236203,748,0,0.74,4245337,Average,0
Services,7,3710580,409546,2961451,360,0,0.72,4005132,Poor,1
Retail,14,5299111,356373,2082342,801,3,0.84,4241523,Good,0
Trading,18,3985104,422137,1845292,446,4,0.53,2786989,Good,0
Manufacturing,15,7959791,332579,1880276,633,1,0.18,4392604,Average,0
Trading,2,1720858,423526,2350457,441,4,0.57,1457315,Good,1
Retail,10,2048982,83965,2604728,343,0,0.72,2471922,Average,1
Retail,23,6863614,393192,623722,443,3,0.17,2270429,Good,0
Retail,12,1745065,378588,2213769,632,3,0.24,917629,Poor,1
Manufacturing,17,5196799,352066,691857,796,0,0.11,1028752,Poor,0
Retail,8,5907866,117799,1830248,695,3,0.57,2950319,Good,0
Manufacturing,11,6491265,113948,1982360,354,0,0.81,366540,Poor,1
Retail,3,6033118,496055,916164,606,4,0.64,2113527,Poor,1
Trading,6,378077,163314,2658026,722,2,0.89,133783,Poor,1
Trading,9,7779816,268099,1180070,716,3,0.15,271326,Average,0
Services,6,5748656,291091,1842841,624,0,0.82,4056561,Good,0
Trading,9,4809322,263322,651513,379,0,0.75,989035,Good,1
Services,7,6660543,222538,2230019,330,3,0.35,3579894,Average,0
Trading,9,6341609,254778,2315752,411,1,0.88,1192568,Average,1
Manufacturing,18,6307509,275821,829957,771,0,0.33,120270,Poor,0
Trading,12,7405016,212888,1963980,373,3,0.81,3885506,Good,1
Services,8,1941232,330929,1557394,778,0,0.8,2755077,Average,0
Services,8,7335315,402107,2762188,686,1,0.71,1137485,Poor,1
Retail,18,5883982,282651,304265,732,2,0.55,1495734,Good,0
Manufacturing,20,6886520,480188,569493,711,1,0.2,1990771,Poor,0
Trading,15,4745818,178223,2311556,766,4,0.53,295943,Good,0
Retail,7,5422964,31618,960913,547,3,0.39,2557145,Poor,1
Trading,11,6733636,356430,2107017,419,1,0.73,34510,Good,1
Trading,20,4395077,298266,703817,366,2,0.71,1545805,Good,1
Retail,16,6463184,158426,1046433,626,0,0.83,4282223,Good,0
Retail,4,1084192,391742,2085286,769,3,0.11,732726,Good,0
Retail,6,6563998,444195,2631505,792,1,0.75,2519343,Poor,1
Retail,22,4930232,106436,2411547,585,2,0.85,4509690,Average,1
Retail,3,1220114,230448,1984116,611,1,0.73,3631031,Good,1
Trading,9,901891,465990,732387,608,4,0.2,2072544,Good,0
Retail,10,7673904,156109,1195958,396,3,0.17,4674569,Good,0
Manufacturing,14,5815752,48633,529767,412,0,0.12,131235,Good,0
Services,11,6948702,306639,59583,755,2,0.6,3378414,Poor,0
Retail,18,6031415,346694,624675,762,1,0.6,2573283,Average,0
Retail,22,3829921,232456,2683664,431,3,0.89,4438671,Average,1
Trading,12,2482926,318627,2994208,420,1,0.42,816462,Average,1
Retail,23,6467647,395325,1547850,496,3,0.37,902997,Poor,1
Retail,12,2785670,486589,996803,781,4,0.6,1173279,Average,0
Retail,13,3644250,316213,2145598,338,1,0.76,1471274,Poor,1
Trading,13,3666085,158442,1364861,811,4,0.85,4094290,Poor,1
Retail,19,4906976,139873,728710,773,2,0.74,2416551,Good,0
Services,19,4323278,398987,518298,460,4,0.44,878839,Poor,1
Trading,23,5608822,91947,186149,588,3,0.61,1690816,Average,1
Services,14,837977,190205,620303,499,2,0.79,3589444,Average,1
Trading,4,2299014,247107,1038651,827,1,0.49,3041035,Average,0
Retail,13,4003292,115761,1026684,802,1,0.27,1509579,Good,0
Services,8,1858141,395897,806556,547,3,0.24,2382970,Good,0
Trading,23,3968280,413908,2993486,682,0,0.1,3807678,Good,0
Manufacturing,21,3023408,48926,1104153,517,0,0.67,4094664,Poor,1
Retail,23,7004545,381926,856434,386,1,0.19,4496874,Average,0
Trading,19,2148058,124700,2197863,381,3,0.3,1098160,Poor,1
Manufacturing,12,5084808,356128,2710891,361,0,0.34,1741951,Poor,1
Trading,18,6937640,456606,2640179,799,4,0.55,4791843,Average,0
Manufacturing,6,7137388,69593,2851615,341,1,0.42,4263657,Good,0
Retail,18,2459173,357753,471863,311,4,0.64,680050,Average,1
Services,19,7283941,25209,609119,414,3,0.14,4187551,Poor,1
Manufacturing,22,4954419,146700,1854240,517,4,0.2,3778302,Poor,1
Trading,5,342291,419749,1981506,405,0,0.5,295906,Good,1
Retail,24,4922580,106597,2013957,827,0,0.37,4887163,Poor,0
Manufacturing,9,4889058,289355,2392094,771,2,0.34,2578356,Poor,0
Trading,3,7545136,29927,2242271,686,1,0.15,1449462,Average,0
Trading,10,4797968,228535,873265,525,3,0.82,3240868,Good,1
Trading,19,2422827,137333,2895376,780,1,0.65,2967658,Average,1
Manufacturing,3,5167951,175666,1092137,707,4,0.2,3162743,Average,0
Manufacturing,22,6853774,225924,2197907,756,3,0.15,1945188,Average,0
Manufacturing,15,7732300,228785,1251988,320,3,0.88,1759133,Poor,1
Services,1,7937174,358526,901426,502,0,0.64,3522591,Poor,1
Manufacturing,7,2368671,159005,1686748,716,4,0.43,579649,Good,0
Manufacturing,12,1008672,123780,1640346,715,0,0.66,4870922,Poor,1
Manufacturing,17,6472496,60696,1152801,747,0,0.71,959012,Good,0
Services,21,7221154,216521,2337073,811,2,0.72,2033864,Average,0
Manufacturing,24,637369,349760,290617,384,0,0.48,3532645,Average,0
Trading,20,4276974,419305,655398,466,1,0.44,464944,Poor,1
Manufacturing,5,3792963,469764,163606,683,3,0.11,3173138,Poor,0
Trading,4,4807167,177195,1637514,767,0,0.84,785334,Good,0
Trading,12,2527039,421013,1127506,371,1,0.58,1975975,Poor,1
Trading,20,596063,70013,791067,820,4,0.26,2996206,Poor,1
Services,24,1683875,421562,310102,772,3,0.84,2094889,Poor,1
Services,18,6925169,236486,1372521,557,4,0.83,2502632,Average,1
Services,17,2176336,446888,1674224,574,1,0.89,4484486,Poor,1
Manufacturing,19,7841586,430869,197631,319,4,0.8,235530,Poor,1
Trading,9,4256778,331700,1393054,789,4,0.9,1951944,Average,0
Services,4,5053267,405867,2383697,789,4,0.3,2368432,Average,0
Services,21,6037890,259350,1776334,625,0,0.77,3421085,Average,0
Manufacturing,2,7396807,46140,1897199,828,0,0.76,3354408,Average,0
Services,4,3187757,283328,2427347,388,0,0.28,551719,Poor,1
Manufacturing,2,2768665,447709,1688004,785,3,0.18,3188018,Poor,0
Retail,15,3209984,457364,1779187,649,1,0.88,985043,Poor,1
Services,2,6772973,175918,317291,383,0,0.34,1931823,Good,0
Retail,4,6661761,131361,1673372,686,4,0.8,3188475,Average,0
Manufacturing,6,992924,173267,1380363,386,4,0.1,724568,Poor,1
Trading,7,2870115,287750,153535,606,4,0.12,4847724,Poor,0
Services,10,1961655,417172,1097861,453,4,0.47,4001175,Poor,1
Manufacturing,19,7799066,36555,1395528,739,2,0.29,670247,Average,0
Trading,19,4972412,110385,1611014,563,3,0.65,1567692,Average,1
Trading,22,3400498,431906,772648,720,1,0.55,4718643,Average,0
Retail,12,5089125,340646,633247,792,1,0.16,1511718,Poor,0
Manufacturing,3,6778712,275658,445065,710,0,0.23,4484939,Average,0
Trading,13,4970432,462065,2477474,472,2,0.41,3948240,Poor,1
Services,18,1323920,177419,2869648,303,1,0.25,559168,Good,1
Services,8,7481479,249797,2757762,771,3,0.73,1239613,Average,0
Retail,21,4111666,123844,1929573,409,4,0.43,2470352,Average,0
Trading,15,4119712,111321,987687,336,0,0.17,349829,Poor,1
Manufacturing,1,1333668,331200,1099708,330,3,0.49,1915883,Average,0
Services,3,7417082,214923,801972,680,1,0.17,1143417,Average,0
Trading,8,5936485,118234,309427,567,2,0.2,1770826,Poor,1
Trading,4,5904327,494718,2289155,310,0,0.29,3608234,Poor,1
Retail,16,6833644,247705,832516,643,1,0.79,4079399,Poor,1
Services,23,2773199,494634,2407681,843,0,0.84,2612902,Good,0
Services,10,5348127,221283,2591007,465,1,0.76,1605869,Poor,1
Manufacturing,12,6828957,323994,2400760,641,4,0.37,1286479,Average,0
Services,14,5863026,491761,2905825,781,2,0.32,3930174,Good,0
Manufacturing,14,597675,309987,764261,318,4,0.54,4300683,Poor,1
Services,2,1008175,344464,1623908,483,1,0.68,2934312,Good,1
Retail,23,3975002,49793,2324915,844,3,0.89,4858355,Good,0
Services,5,2167306,452732,281807,309,4,0.21,2106908,Average,0
Manufacturing,5,563625,168929,74363,491,3,0.14,647958,Good,0
Manufacturing,6,1142840,39627,444798,619,1,0.66,3320108,Poor,1
Retail,13,4694643,343966,2095990,774,2,0.77,2113685,Good,0
Services,9,6189118,497317,1034348,726,3,0.78,4716274,Good,0
Services,22,5428643,242633,1435049,358,1,0.64,97417,Average,1
Retail,15,425355,465464,2148772,735,3,0.86,1404038,Average,1
Services,14,4522102,337942,1422944,396,4,0.51,2819672,Poor,1
Services,24,915937,244440,1548447,795,1,0.83,1493518,Average,1
Manufacturing,7,1675607,195188,742894,577,4,0.87,348492,Poor,1
Services,20,319477,357462,1595288,564,0,0.78,2956649,Poor,1
Services,2,3856210,386330,1825565,308,1,0.35,2023001,Average,0
Retail,7,6808856,278191,2327476,756,3,0.26,4525931,Good,0
Retail,6,7857092,370046,1645123,572,0,0.54,4338748,Average,0
Trading,17,2787111,441773,70655,307,4,0.46,4625202,Good,0
Manufacturing,2,2309606,353478,2049085,507,4,0.8,1930917,Good,1
Services,3,1859757,488379,999133,422,3,0.18,3606743,Poor,1
Services,5,7615830,388863,2039690,332,0,0.31,1664588,Poor,1
Trading,5,6456738,143099,500400,812,2,0.7,2556481,Average,0
Services,1,4899409,229074,1120178,503,3,0.18,3488437,Good,0
Manufacturing,8,3732207,193686,716470,817,4,0.36,49574,Average,0
Trading,12,6471638,294864,1985854,816,1,0.41,140017,Poor,0
Manufacturing,24,7988786,339752,1441538,742,0,0.6,4223722,Good,0
Trading,4,4767890,127449,2672977,638,2,0.23,3228335,Average,0
Trading,13,2181297,122828,2557506,737,1,0.79,4768466,Average,1
Retail,23,6383059,146613,1879074,744,0,0.46,2995742,Poor,0
Manufacturing,15,1123759,92095,2848714,435,3,0.83,3556074,Poor,1
Services,11,3330855,125924,221236,686,3,0.47,4018417,Poor,0
Services,10,4829275,497910,139743,324,0,0.32,4324842,Poor,1
Manufacturing,3,6173632,116452,497875,805,2,0.21,2034328,Average,0
Services,22,431184,107593,2005206,624,0,0.1,4408003,Poor,1
Services,14,1435627,186964,1188422,637,1,0.53,1261041,Poor,0
Manufacturing,16,2547805,389119,808795,394,1,0.19,2601740,Average,0
Trading,10,545300,359386,864468,844,3,0.41,2671075,Average,0
Manufacturing,10,884010,398185,1814688,445,0,0.57,4451774,Good,1
Trading,12,392036,146202,2754489,530,3,0.32,1948031,Average,1
Services,9,6295802,97606,289647,794,2,0.24,4556285,Good,0
Services,1,6739051,143769,1429401,337,1,0.72,4473852,Poor,1
Services,5,1153392,138542,339962,724,4,0.86,1645493,Good,0
Retail,20,6315877,388582,2996116,736,4,0.18,4643138,Good,0
Trading,8,581696,283068,369849,667,0,0.22,2504153,Poor,0
Retail,11,3962340,71322,594392,644,0,0.87,2276583,Poor,1
Retail,12,1490456,177550,436480,459,4,0.13,484023,Poor,1
Manufacturing,1,4729723,91042,1954611,849,0,0.88,953618,Good,0
Retail,22,1290029,66418,2992609,840,1,0.1,32799,Average,0
Manufacturing,20,454692,475433,1850200,443,2,0.8,2399941,Average,1
Manufacturing,11,4757335,120699,474632,644,2,0.35,4888602,Average,0
Retail,5,2691098,110140,1622732,568,3,0.85,2547350,Poor,1
Trading,15,1957888,494062,1990593,567,1,0.35,4534062,Poor,1
Trading,5,2885917,486978,1559837,468,0,0.62,3279115,Average,1
Trading,12,5137231,31781,1408990,332,0,0.16,2058836,Poor,1
Trading,5,6447560,418731,1301717,676,3,0.29,3374067,Good,0
Trading,17,7857845,399502,2790855,513,3,0.72,2109572,Good,1
Retail,17,2124964,318277,1541625,739,0,0.52,4474760,Poor,0
Retail,24,1688509,495724,1430188,791,0,0.84,807827,Average,0
Services,12,4054542,117628,2578696,692,1,0.44,302445,Average,0
Trading,24,2798214,96946,2994230,788,3,0.8,2144124,Good,1
Retail,15,4978083,105058,2868767,328,1,0.46,1129429,Poor,1
Services,15,7089408,422311,1387218,338,0,0.88,2741575,Average,1
Trading,6,5064812,171542,1719745,472,4,0.87,4276808,Average,1
Manufacturing,12,7424051,325273,1512333,316,4,0.36,3267101,Poor,1
Services,20,6988437,290675,620217,355,0,0.81,4527228,Poor,1
Retail,18,4873574,319182,173199,525,3,0.78,3569873,Average,1
Manufacturing,14,6410798,370083,1330101,366,4,0.27,4562906,Poor,1
Manufacturing,2,4408502,62674,1386748,496,3,0.6,2606804,Poor,1
Manufacturing,9,7715309,147572,2176697,322,4,0.16,1374340,Poor,1
Services,5,7597238,245730,1702433,536,3,0.77,4016284,Average,1
Retail,20,1868146,495692,2178825,437,4,0.24,1935204,Good,1
Manufacturing,1,783455,311975,474190,772,3,0.16,4791146,Poor,0
Trading,23,4336405,77174,2599267,528,1,0.42,2500989,Average,0
Manufacturing,3,6713788,293423,1514889,616,3,0.56,117781,Good,0
Manufacturing,6,7874263,451436,938943,500,1,0.78,4719565,Average,1
Services,5,847219,342754,1453864,557,1,0.88,1822648,Average,1
Services,21,2486268,465935,2170677,779,0,0.45,3385938,Average,0
Retail,5,4745975,276008,2729244,477,1,0.15,3250647,Good,0
Trading,1,4287793,73051,2293267,422,2,0.7,3182825,Average,1
Services,17,1924777,223085,2713286,641,1,0.55,4315707,Good,0
Manufacturing,19,3171656,338796,807600,470,3,0.46,3966405,Poor,1
Retail,14,7666023,85524,2647979,358,1,0.35,549634,Good,0
Manufacturing,12,5008569,496152,2066307,764,3,0.5,2727073,Average,0
Manufacturing,10,4155933,288614,2154417,559,3,0.37,3236145,Good,0
Services,20,5122684,480814,859195,672,2,0.71,2539521,Average,0
Retail,21,2626729,455014,1305300,394,1,0.54,3105038,Poor,1
Trading,18,7302128,335617,65733,424,1,0.8,3142052,Good,1
Trading,24,6995233,433096,948628,340,4,0.53,1911950,Poor,1
Services,11,4207129,251189,2446716,553,4,0.29,2988731,Good,0
Services,2,395556,64439,2137560,306,0,0.78,1840980,Average,1
Retail,18,2197883,296452,1076281,770,3,0.55,1883071,Good,0
Trading,7,5699869,111563,2811759,810,2,0.27,2940639,Poor,0
Trading,24,3769992,247328,2605517,368,4,0.6,1711638,Good,0
Trading,15,6986660,317225,1119634,380,1,0.39,4803426,Poor,1
Manufacturing,11,1855537,226314,2393453,841,0,0.78,939044,Poor,1
Trading,18,6439353,463599,1395649,561,2,0.46,3989610,Average,0
Manufacturing,23,952755,29837,1051675,388,1,0.68,3735268,Good,1
Retail,12,3966344,255207,2107244,507,1,0.18,2144056,Poor,1
Manufacturing,6,5950352,465367,2309586,512,3,0.42,3241069,Average,0
Retail,20,3826362,138128,2757929,565,3,0.89,4977188,Average,1
Trading,23,1043088,187896,1707528,592,4,0.75,789031,Average,1
Trading,13,5144747,184145,2224749,506,4,0.23,3897133,Poor,1
Retail,20,7930406,394795,1891049,632,1,0.32,740079,Good,0
Services,16,2895834,117624,128209,376,1,0.36,4905829,Poor,1
Retail,18,359778,439515,674152,587,4,0.62,1238503,Average,1
Services,10,1394409,209933,2295772,346,4,0.71,1283425,Poor,1
Manufacturing,23,5303361,50063,216562,499,1,0.7,3564936,Poor,1
Manufacturing,8,2953528,89453,2354310,726,2,0.51,1474372,Average,0
Manufacturing,18,4404399,274371,2786598,509,1,0.75,333060,Good,1
Trading,21,1813083,481688,1026264,719,2,0.45,1954201,Average,0
Manufacturing,1,3642103,122166,336453,453,2,0.2,2680210,Average,0
Services,23,2473513,34506,1170831,821,1,0.55,1285423,Poor,0
Manufacturing,8,1698949,245413,1651582,714,0,0.86,144015,Average,0
Retail,6,7775221,493070,275409,652,4,0.73,2199494,Poor,1
Retail,5,6157433,133604,2387119,456,3,0.56,2682897,Average,0
Trading,15,822154,46026,2840353,560,1,0.62,4033310,Average,1
Retail,22,7213462,440888,1041052,376,2,0.84,1548160,Good,1
Services,15,3768582,451633,788925,787,1,0.44,2894978,Average,0
Manufacturing,2,1311930,334557,2515849,430,4,0.37,3480030,Good,1
Trading,1,6162044,275116,2983865,754,2,0.88,386804,Average,0
Manufacturing,23,7576014,347210,2522747,462,3,0.79,1860288,Average,1
Manufacturing,23,1379525,210285,1885775,314,3,0.36,2221373,Average,1
Services,11,2085818,70971,1495687,531,3,0.47,1125894,Good,0
Retail,10,3251720,440497,632314,494,0,0.43,1967239,Poor,1
Retail,18,1460117,133978,2003150,841,2,0.22,3478034,Good,0
Manufacturing,18,2382963,179163,2555700,658,2,0.87,994670,Average,1
Trading,17,6262859,332638,195693,630,0,0.42,2412008,Poor,0
Retail,8,4556146,123864,1699734,726,2,0.8,4979376,Average,0
Trading,15,2885171,431826,960789,796,0,0.25,2611173,Good,0
Retail,8,1581506,414295,935621,785,1,0.54,1710525,Good,0
Trading,17,589134,115386,2711942,748,4,0.12,2931825,Poor,1
Services,12,3068705,459967,348818,712,3,0.71,794609,Good,0
Trading,8,7932285,106126,611548,629,0,0.56,523099,Average,0
Services,14,4624660,468648,1010002,446,0,0.6,3311328,Poor,1
Services,4,6479617,182023,754824,558,0,0.14,2856258,Average,0
Trading,1,3166069,100863,2743245,591,1,0.27,3595775,Poor,1
Services,1,1037090,360435,2343143,442,0,0.16,576115,Poor,1
Manufacturing,19,1214565,145659,1882500,664,4,0.33,3562452,Average,0
Services,16,4135598,210944,235541,389,4,0.6,2021013,Good,0
Retail,14,5282042,27235,2164346,463,3,0.55,3750517,Average,0
Trading,21,1352425,364877,2829323,780,1,0.59,2165924,Good,0
Manufacturing,16,6603816,82712,1753728,383,4,0.54,2637051,Good,0
Trading,5,6964672,172545,618011,376,2,0.32,153354,Average,0
Retail,9,1077567,218639,518451,816,2,0.3,1516008,Poor,0
Retail,2,3016207,257890,633526,784,2,0.21,4336716,Average,0
Retail,18,6852901,145849,309425,403,0,0.78,358773,Poor,1
Services,6,2049736,275493,1728297,751,0,0.59,1419330,Good,0
Services,9,1870234,99823,560609,786,2,0.25,3228763,Poor,0
Trading,1,7021635,124215,2115331,638,3,0.24,804597,Average,0
Trading,9,6645786,261071,350589,777,3,0.8,1682186,Poor,1
Manufacturing,16,351707,52230,759163,522,0,0.69,4153994,Good,1
Manufacturing,13,580833,366717,2143333,308,2,0.63,1103091,Good,1
Trading,9,3999100,243660,680458,352,3,0.43,3891540,Poor,1
Services,21,1388963,482092,2018093,376,0,0.31,109446,Good,1
Retail,13,6404128,322788,2494913,802,2,0.88,59789,Good,0
Trading,9,2177145,199736,2360634,615,1,0.74,2680928,Poor,1
Manufacturing,11,2583785,327347,2987086,464,2,0.34,3312844,Good,1
Services,4,4294420,348821,2971339,578,2,0.78,704960,Poor,1
Trading,2,6213678,438641,845911,326,4,0.71,873889,Poor,1
Trading,6,1134874,143246,649649,369,4,0.34,3849864,Good,0
Services,14,1189493,104817,1775240,517,1,0.44,2601855,Poor,1
Trading,4,6987666,258657,478910,664,1,0.25,930340,Good,0
Services,6,1078799,237033,131171,605,2,0.19,3744541,Good,0
Retail,19,3833716,251414,2523447,423,3,0.68,3984808,Good,1
Services,6,6573914,276812,2233448,318,1,0.31,4027876,Average,0
Services,2,3807447,351950,1239138,556,2,0.76,2309117,Good,1
Services,18,7379701,324958,2299476,595,0,0.9,3590278,Poor,1
Trading,13,1179459,90219,2645658,321,4,0.16,1162493,Poor,1
Trading,9,2481533,462862,2809374,749,3,0.48,3771646,Poor,1
Services,23,2122744,190956,2388687,849,2,0.74,2646661,Average,1
Trading,19,7433164,377489,1430679,347,0,0.73,525007,Average,1
Manufacturing,13,2591136,277134,1502242,482,4,0.71,214514,Poor,1
Manufacturing,11,7700304,382232,833258,734,0,0.38,132141,Poor,0
Trading,1,3941644,351466,1946999,406,2,0.46,2676154,Average,0
Trading,24,4143139,41650,1270575,487,1,0.58,1121861,Poor,1
Services,22,3393510,376386,2902889,385,4,0.88,275079,Good,1
Retail,7,5232400,422406,1410573,755,0,0.36,3002946,Good,0
Trading,21,4485224,320340,1927887,436,1,0.84,4762627,Poor,1
Manufacturing,15,4747395,190521,1811201,635,3,0.32,388831,Good,0
Services,1,1152050,190733,2743801,768,2,0.89,4474988,Poor,1
Trading,12,2661216,311853,2387180,702,2,0.64,4925705,Average,0
Manufacturing,7,7746153,262037,1450507,839,4,0.47,1815689,Poor,0
Manufacturing,15,2867587,100428,1315832,371,0,0.59,3616177,Average,0
Retail,21,5095464,226251,90736,323,3,0.32,2243445,Good,0
Services,19,564237,29943,1385250,784,4,0.32,3462653,Good,0
Services,1,4769353,194312,259124,355,4,0.19,531375,Good,0
Retail,17,5140351,458976,2777520,522,0,0.19,2053078,Poor,1
Retail,17,2814719,41042,2614462,478,3,0.38,2523768,Average,0
Services,3,7933157,272842,2807398,733,0,0.71,3324116,Average,0
Services,12,2208911,326038,438742,749,2,0.59,4172791,Good,0
Trading,6,4302981,420085,2371945,791,1,0.18,3591006,Good,0
Trading,11,1719920,474294,692911,488,2,0.78,186589,Average,1
Retail,3,2479441,338903,726935,719,2,0.58,2801377,Poor,0
Trading,8,3037946,388117,1735124,548,4,0.87,467153,Good,1
Manufacturing,14,4048529,326450,482859,463,2,0.64,2829707,Poor,1
Trading,14,3858818,390513,451072,554,3,0.24,500642,Good,0
Trading,10,6249171,206443,2578537,775,2,0.48,2635334,Good,0
Manufacturing,2,1749466,171990,2145637,716,3,0.62,4747864,Poor,1
Retail,14,1661236,310523,2838302,469,0,0.12,221120,Poor,1
Manufacturing,9,2388062,402811,1437168,616,4,0.11,1082221,Poor,0
Trading,3,2656632,234304,1006010,473,3,0.2,21179,Poor,1
Retail,21,2134907,416178,793264,769,2,0.3,4185711,Average,0
Trading,8,4161774,164923,2607674,644,4,0.44,4729283,Average,0
Manufacturing,16,3933795,399770,715329,744,4,0.49,653724,Good,0
Manufacturing,2,3777084,458963,324548,317,3,0.21,3405733,Good,0
Trading,6,4627802,407324,2605673,369,3,0.64,1280475,Good,1
Services,21,3699752,334493,1527775,637,1,0.58,3315838,Average,0
Services,12,4100986,221904,2317686,826,1,0.34,552766,Poor,0
Manufacturing,5,5632889,207428,2428656,755,4,0.11,1497567,Good,0
Manufacturing,2,1023858,165817,469503,568,1,0.16,988128,Average,0
Services,16,7014615,25730,2343696,487,2,0.41,302476,Good,0
Services,5,3118907,427137,1862901,828,0,0.22,3971473,Average,0
Trading,15,344816,249502,208253,733,4,0.4,2224013,Poor,0
Trading,12,304138,222210,719745,587,0,0.6,4175089,Average,1
Services,4,4463960,234183,1709537,798,1,0.54,717940,Poor,0
Trading,15,3536904,39023,1329898,740,3,0.28,169173,Good,0
Trading,11,7978121,458565,2414840,602,4,0.38,1204707,Poor,0
Retail,16,7381905,146796,821143,386,1,0.59,2924210,Average,0
Trading,23,5291187,363677,2553643,737,2,0.79,544991,Good,0
Manufacturing,6,4164044,365430,2734688,840,4,0.7,4648937,Good,0
Trading,14,6947463,324123,346694,321,4,0.54,4908892,Average,0
Trading,18,7388166,304981,1511433,816,3,0.39,3881610,Poor,0
Services,12,521552,428213,2927389,802,4,0.39,2633068,Average,0
Manufacturing,11,343764,387119,1965029,766,3,0.8,3346889,Poor,1
Trading,13,2520182,196111,1376325,400,1,0.13,4462966,Poor,1
